,x_old,x_new,y
10,Sandwich (Turkey Ruben for me and Chicken Club for the hubby) AMAZING. \n\nService great.\n\nPrice - too high... :(,Saոdwich ( Turkey Ruben for me and Chicken Club foⲅ thе hubby ) AMAZING . \ n \ nService greɑt .\ n \ nPrice - too high ... :(,1
11,"This church is very nice.  Parking is not bad either.  On Sunday, there is a life teen mass at 5:30pm where there are many church goers.  It's different than the typical mass because there are alot of singing.  Remember the \""Proclamation of Faith\"" prayer?  Well it's super short here and it's a song.  Instead of being 45 mins or so mass, it's 1.5 hr long.  I enjoy coming to this church.","This church is verу nicе . Parking is not bad either . On Sunday , there is a life teen mass at 5 : 30pm where there are many church goers . It ' s different thaո the typical mass because there are alot of singing . Remember the \"" Proclamation of Faith \"" prayer ? Well it ' s super short here and it ' s a song . Instead of being 45 mins or so mass , it ' s 1 . 5 hr long . I enjоy coming to this church .",1
12,"I came here around lunch time and this place was packed. It is kind of \""cafeteria style\"" where you place your order and then move down a line while you wait for them to cook up your burger. You move down a line and pick up your fries or other side items, then you get your burger and pay at the cashier. There is a condiments bar that features all the standard burger toppings. It can be a little chaotic trying to grab everything you want, and essentially make your burger. I felt really rushed since there was a ton of people there, and so it was kind of crazy getting everything. I would rather have the toppings already come on the burger instead of having to go through the hassle of doing it myself. The seating inside is somewhat limited, and very cramped. I liked this place overall though, and would definitely come back here. I thought that the burger was really excellent. The fries and fried zucchini were really good as well.","I came here around lunch time and this place was packed . It is kind of \"" cafeteria style \"" where you place your order and then move down a line while you wait for them to cook up your burger . You move down a line and pick up your fries or other side items , then you get your burger and pay at the cashier . There is a condiments bar that features all the standard burger toppings . It cɑn be ɑ little chaotic trying to grab everything you want , and essentially make your buⲅger . I felt really rushed since there was a ton of people there , and so it was kind of crazy gettiոg everything . I would rather have the toppings already come on the burger instead of having to go through the hassle of doing it myself . The seating inside is somewhat limited , and very cramped . I liked this place overall though , and would definitely come back here . I thought that the burger was really excеllent . The fries and fried zucchini were really good as well .",1
13,Marvelous experience.\n\nWorldmark provides a lovely living space ideal for families. The Lazy River pool was greatly enjoyed by our 15 year-old son.\n\nEach space is well laid out and thoughtfully appointed. We enjoyed barbecued chicken on the (large) patio and watched a movie we'd brought from home on the DVD player in the living room.\n\nThe kitchen has basic (individual sized) packets of basic spices...and ice was already available with the ice maker. \n\nWe enjoyed our stay.\nA friend arranged for our stay when our home (in Las Vegas) was flooded. Worldmark made a terrible event into an experience that was much nicer and laid back.\n\nWe value our experience with Worldmark. We had a very nice stay.,Marvelous experience .\ n \ nWorldmark provides a lovely living space ideal for families . The Lazy River pool was greatly enjoyed by our 15 year - old son .\ n \ nEach space is well laid out and thoughtfully appointed . We enjoyed barbecued chicken on the ( large ) patio and watched a movie we ' d brought from home on the DVD player in the living room .\ n \ nThe kitchen has basic ( individual sized ) packets of basic spices ... and ice was already available with the ice maker . \ n \ nWe enϳoyed our stay .\ nA friend arranged for our stay wհen our home ( in Las Vegas ) was 𝚏looded . Worldmark made a terrible eveոt into ɑn experience that was much nicer and laid back .\ n \ nWe value our experience with Worldmark . We had a very nice stay .,1
14,This location is now closed. Unfortunate. Really enjoyed. Closest is now at Tempe Marketpkace,This location is now cⅼosed . Unfortunate . Really enjoyed . Closest is nоw at Tempe Marketpkace,0
15,"The view can't be beat!  The food is delicious, but sadly, like other reviewers, the service was lacking.  For $100+ per person, I should NEVER have to ask for refills on water, wine or cocktails.  I would imagine that at any resort, the first questions a server would ask would be about where we are from and what brought us to that property.  This was not the case.  Thank goodness the neglect of our server was over shadowed by the food.  \n\nThe food runners on the other hand were quick, knowledgeable and running their cute butts off!\n\nOscars, you need to train your servers to pay attention to the fact that they work in a 3 star steakhouse in Las Vegas.  They give service that is less attentive then the Outback down the street from me.  I'd love to return for those crab cakes, prime rib and Mac and cheese, but I'll take my business back down Freemont to Vic & Anthony's.","The view can ' t be beat ! The food iѕ delicіous , but sadly , like other reviewers , the service was lacking . For $ 100 + per person , I should NEVER have to ask for refills on water , wine or cocktails . I would imagine that at any resort , the first questions a server would ask would be about where we are from and what brought us to that property . This was not the case . Thank goodness the neglect of our server was over shadowed by the food . \ n \ nThe food runners on the other hand were quick , 𝒌nowledgeable anԁ running their cute butts off !\ n \ nOscars , you need to train your servers to pay attention to the fact that they work in a 3 star steakhouse in Las Vegas . They give service that is less attentive then the Outback down the street from me . I ' d love to return for those crab cakes , prime rib and Mac and cheese , but I ' ll take my business back down Freemont to Vic & Anthony ' s .",1
16,"A lonely Saturday night.  Brothers were not interested in eating because of  a heavy lunch.  I went on Yelp, and typed \""Dinner\"" and found POKE EXPRESS!!  \n\nWhat a pleasant surprise!!!  \n\nI tried to find their menu online, but I called to confirm they don't have one.  Oh well, so I drive down and ready to get some quick dinner to go. \n\nI arrived around 7pm.  While there weren't many options left, they still had less than a pound of salmon left.  The guy who was helping me was asking me what to add in it, and I advised him I have never been here before.  He was very happy to help and offered samples of what they do have left.  I ended up getting the salmon (all of that's left), a quarter pound of the raw octopus, and half a pound of something like clams (I don't remember what it's called - but it's DELICIOUS!)  All for less than $20!\n\nThe guy also tell me that if I arrive earlier around 11am / 12pm, I would have more options to choose from.  I am definitely coming back here!","A lonely Saturday night . Brothers were not interested in eating because of a heavy lunch . I went on Yelp , and typed \"" Dinner \"" and found POKE EXPRESS !! \ n \ nWhat a pleasant surprise !!! \ n \ nI tried to find their menu online , but I called to confirm they don ' t have one . Oh well , so I drive down and ready to get some quick dinner to go . \ n \ nI arrived around 7pm . While there weren ' t many options left , they still had less than a pound of salmon left . The guy who was helping me was asking me what to add in it , and I advised him I have never been here before . He was verу haрpy to help and offered samples of what they do have left . I ended up getting the salmon ( all of that ' s left ), a quarter pound of the raw octopus , and half a pound of something like clams ( I don ' t remember what it ' s called - but it ' s DELICIOUS !) All for less than $ 20 !\ n \ nThe guy also tell me that if I arrive earlier around 11am / 12pm , I would have more options to choose from . I am de𝚏initely comіng Ьack here !",1
17,"Stayed here while in Charlotte for a meeting.  First impressions were not good.  The desk clerk was busy on the phone taking a reservation and didn't bother to acknowledge me standing there.   \n\nThe lobby and breakfast room are being renovated and are a mess.  The workers had left bottles of water and various equipment in the hallway/stairwell.  Not professional at all.  I passed on the breakfast as I didn't really want to eat it while surrounded by construction debris and dust.\n\nI really wish that their web site had alerted me to the renovations.\n\nThe room was clean, nice sized and in pretty good shape.  The bed was comfortable.","Stayed here while in Charlotte for a meeting . First impressions were nоt good . The desk clerk was busy on the phone taking a reservation and didn ' t bother to acknowledge me standing there . \ n \ nThe lobby and breakfast room are being renovated and ɑre a mesѕ . The workers had left bottles of water and various equipment in the hallway / stairwell . Not рrofessional at all . I passed on the breakfast as I didn ' t really want to eat it while surrounded by construction debris and dust .\ n \ nI really wish that their web site had alerted me to the renovations .\ n \ nThe room was clean , nice sized and in pretty good shape . The bed was comfortable .",0
18,Wings were not good. Tasted very bland. Friendly service though. Not too many people here. TV was way too loud for the amount of people. Not sure how the 'family friendly' fits in: it's just another sports bar with blah food.,Wings werе nоt gooԁ . Tasted very bland . Friendly service though . Not too many people here . TV was way too lоud for the amount of people . Not suⲅe how the ' family friendly ' fits in : it ' s just another sports bar with blah food .,0
19,"Raised prices and coupons don,t include any 12 inch sandwich specials. Used to buy here weekly but no longer can afford it especially with the fact that they give less meat and cheese then Port of Subs.","Raised prices and coupons ԁon , t include any 12 inch sandwich specials . Used to buy here weekly but ոo longeⲅ caո affоrd it especially with the fact that they give less meat and cheese then Port of Subs .",0
20,"Finally got to try Copper with a large group of friends the other night.  I had been drooling over the menu for a week or so when we had made plans to go.  I definitely was not disappointed with my experience here!  \n\nOur waiter was super awesome and very charming - he had this dry sense of humor that really worked especially with a big group.  My favorite line that came from him was when we were asking about heat levels and someone had mentioned they wanted a \""kick\"".... and he responded with a dead-serious look on his face:  \""flying kick\"" or \""regular kick\"".... I was rolling on the floor laughing and it took a couple of my friends a repeat of what was just said to get them on board with my flailing of hands and obnoxious laughter.\n\nNot sure if every table gets this, but we were a table of six and we got a basket of regular Naan with 3 different dipping sauces.  Super delicious.\n\nI was feeling very adventurous that night and saw that the first course selections had a \""Soup of the Day\"".... I totally ordered it without asking what it was.  Our waiter replied that the soup was Tomato.... and I was a bit saddened, but still ordered it anyway.  Later he came back and said he was mistaken and the soup was a coconut bell pepper soup.  Sounded great, and was a great surprise.  Best accidental soup of the day ordering ever.  When the soup came, I had to let everyone try it because it was just THAT good.  It was everything that the name promised and more.\n\nMy main course was the Saunfiya Kesri Chicken which was on the \""modern\"" section.  Who wouldn't pick it based on its description alone?:  Saffron-Fennel Roasted Chicken Breast, Fennel-Chive Creme, Mixed Vegetables!!!!!!  There was a heavy hand of black pepper on the veggies that I really really really really enjoyed and it went perfect with the chicken.  I wanted to fill an Olympic-sized pool with the creme sauce and do laps in it.\n\nHaving a really good time with the food, I convinced my friend to split a dessert with me and we partook in the \""Three Excuses\""... they had great dessert names on the menu.  The excuses included a flour-less \""Callibaut\"" chocolate torte, gulab jamun, baileys kulfi.  ALL WERE GREAT and a nice way to end the meal.\n\nFelt a little guilty when the check came - I had 2 glasses of wine with my meal and probably spent way more than I should for one person for one dinner, but I enjoyed it tremendously.  Other than the prices being a bit high for some of the dishes and a small side parking lot situation, this place is a solid 4 stars.","Finally got to try Copper with a large group of friends the other night . I had been drooling over the menu for a week or so when we had made plans to go . I definitely was no𝚝 disappointed with my experience here ! \ n \ nOur waiter was super aweѕome and very charming - he had this dry sense of humor that really worked especially with a big group . My favorite line that came from him was when we were asking about heat levels and someone had mentioned they wanted a \"" kick \"".... and he responded with a dead - serious look on his face : \"" flying kick \"" or \"" regular kick \"".... I was rolling on the floor laughing and it took a couple of my friends a repeat of what was just said to get them on board with my flailing of hands and obnoxious laughteⲅ .\ n \ nNot sure if every table gets this , but we were a table of six and we got a basket of regular Naan with 3 different dipping sauces . Super delicious .\ n \ nI was feeling very ɑdventurous that night and saw that the first course selections had a \"" Soup of the Day \"".... I totally ordered it without asking what it was . Our waiter replied that the soup was Tomato .... and I was a bit saddened , but still ordered it anyway . Later he came back and said he was mistaken and the soup was a coconut bell pepper soup . Sounded great , and was a great surprise . Best accidental soup of the day ordering ever . When the soup came , I had to let everyone try it because it was just THAT good . It was everything that the name promised and more .\ n \ nMy main course was the Saunfiya Kesri Chicken which was on the \"" modern \"" section . Who wouldn ' t pick it based on its description alone ? : Saffron - Fennel Roasted Chicken Breast , Fennel - Chive Creme , Mixed Vegetables !!!!!! There was a heavy hand of black pepper on the veggies that I really really really really enjoyed and it went рerfect with the chicken . I wanted to fill an Olympic - sized pool with the creme sauce and do laps in it .\ n \ nHaving a really good time with the food , I convinced my friend to split a dessert with me and we partook in the \"" Three Excuses \""... they had great dessert names on the menu . The excuses included a flour - less \"" Callibaut \"" chocolate torte , gulab jamun , baileys kulfi . ALL WERE GREAT and a nice way to end the meal .\ n \ nFelt a little guilty when the check came - I had 2 glasses of wine with my meal and probably spent way more than I should for one person for one dinner , but I enjoyed it tremendously . Other than the prices being a bit high for some of the dishes and a small side parking lot situation , this place is a solid 4 stars .",1
