,x_old,x_new,y
10,"Too bad, they have a great location in Old Town.  Small patio, that is filled with smokers, small inside bar, but first you have to get past those smokers.   Beers were warm, kept in a small fridge, constantly being opened.  \n\nLive music inside, too loud for such a small space.  Oh, BTW, did I mention the smoke?","too bad, they have a great location in old town.  small patio, that is filled with smokers, small inside bar, but first you have to get past those smokers.   beers were warm, kept in a small fridge, constantly being opened.  \n\nlive music inside, too sound for such a small space.  oh, btw, did i mention the smoke?",0
11,"We wanted to go see a movie to get out of the heat, and this theater was a nice walking distance from the hotel we were staying at...  The attendants and staff were very friendly. The movie theater is right next to the food court, so if you don't want to spend too much money on snacks in the theater, you can just go grab a bite to eat before going to your movie! Or go afterward! =) The theater we were in was nice and cool, and very spacious and clean!\n\nIf you're a Harkins fan & an avid moviegoer, don't forget to buy your Harkins souvenir T-shirt so you can get a free medium popcorn everytime you come in with it. Also if you purchase a souvenir cup, refills are only $1.50! These discounts go on all year long, just bring them in every time you come to a Harkins theater!","we wanted to go see a movie to get out of the heat, and this theater was a nice walking distance from the hotel we were staying at...  the attendants and staff were extremely kind ' the movie theater is right next to the food court, so if you don't want to spend too much money on snacks in the theater, you can just go grab a bite to eat before going to your movie! or go afterward! =) the theater we were in was okay and cool, and rather upstairs and clean ! \ n _ ni = you're a harkins fan & an avid moviegoer, don't forget to buy your harkins souvenir t-shirt so you can get a free medium popcorn everytime you come in with it. also if you purchase a so fur care cup, refills are only $1.50! these discounts go on all year long, just bring them in every time you come to a harkins theater!",1
12,The food was delicious but the place was very noisy and the service much to be desired. However I would still recommend it because of the food!,the food was wonderful but the place was very noisy and the service much to be desired. however i would still recommend it because of the food!,1
13,Beware of any company that requires you to mail in a letter to cancel your services. We all know that means they will just keep drafting your bank account to their desire. Just like LA Fitness did. So I now have to prepare to contact the bank and have them refuse payment to Monitronics to stop this nonsense,"beware of any company that requires you to mail in a signature to approve your service ; we all area that means they will just keep tailored your monthly , to their desire. just like la fitness did. well i now have to prepare to contact the bank and have them correct response to monitronics to buy this nonsense",0
14,"Being a Division I college coach I understand the importance of keeping your body at peak performance for competition.  Dr. Brandon knows the techniques and adjustments that need to be made in order to keep your body in tune for peak performance.  I highly recommend him for his knowledge, professionalism and his genuine care that he has given me.  I am very sad he is no longer in California but it is definitely Arizona's gain.",being a division i college coach i understand the importance of keeping your body at peak performance for competition.  dr. brandon knows the techniques and adjustments that need to be made in order to keep your body in tune for peak performance.  i extremely quote him for his experience of professionalism and his kind care that he has given my '  i am very sad he is no longer in california but it is simply arizona's gain.,1
15,"Made 6:00 dinner reservations.  Arrived at 6:00 and requested to sit outside since it was a beautiful night and the hubby and I had never seen the show.  They sat us outside just in time for the frog and this was just the beginning of one of the greatest meals of my life.\n\nWait staff was extremely attentive but never overbearing.  We asked the sommelier for a recommendation for a red wine between $80 and $100.  He didn't give us a look on the price point, stayed within it and recommended a GREAT bottle of wine. We started with the foie gras - which was amazing and a BIG piece.\n\nHubby got the filet, I just ordered the wedge salad and told them I would have some of husband's steak and lobster mac and cheese.  Again, no look, just great service.  Took our time before the La Reve show, got to see a few incarnations of the outside show, had a great time and a great meal.\n\nIt is expensive but ABSOLUTELY worth the money.","made 6:00 dinner reservations.  arrived at 6:00 and requested to sit outside since it was a beautiful night and the hubby and i had never seen the show.  they sat us outside just in time for the frog and this was just the beginning of one of the greatest meals of my life.\n\nwait staff was extremely attentive but never overbearing.  we asked the sommelier for a recommendation for a red wine between $80 and $100.  he didn't give us a look on the price point, stayed within it and recommended a great bottle of wine. we started with the foie gras - which was awful and a big piece.\n\nhubby got the filet, i just ordered the wedge salad and told them i would have some of husband's steak and lobster mac and cheese.  again, no look, just great service.  took our time before the la reve show, got to see a few incarnations of the outside show, had a great time and a great meal.\n\nit is expensive but absolutely worth the money.",1
16,"I loved living here!  \n\nI have lived at San Antigua for almost a year.  I have thoroughly enjoyed my time here.  Yes, the units are dated, but wonderful floorplans, very clean, spacious decks, extra storage, actual laundry rooms (older equipment, but works great).  I am a single woman and feel completely safe despite often arriving home late.  I LOVE that they allow pets by breed (not size).  \n\nThe award-winning grounds are outstanding with something beautiful blooming year-round and well maintained palm, pine and native trees.  There is a wonderful greenbelt where my dog loves to run each morning and meet his many pals - a virtual playground for the dogs.  The adjacent golfcourse and walking/biking path is easy to access and another beautiful place to walk.  the many varieties of migrating birds are spell-binding from geese and ducks to beautiful huge blue heron and two or three kinds of all white birds - snow geese? egrets? not sure, but I counted over 40 of them one day in the golf course lakes.  \n\nWhile the pool furniture may be older - it is in very acceptable condition -- the area is super clean, the pools and fountains are beautiful and well-maintained. The gym and common areas as well.  \n\nThe maintenance staff is super responsive and friendly, as are the groundskeepers.  The office staff is helpful, and responsive, but seem to have their hands tied by a less caring management.  You definitely get the feel that the complex is not a labor of love, but about business and the bottom line.  And, in fairness, it is a business, not a condominium complex. Doing more would increase the rents which I thought for all you get were very reasonable.  If they were condos,  I would buy in here in a minute.  Also, people who live here are friendly, respectful, all ages,  and it is very quiet - unlike several other complexes I considered. The unique 3-bedroom units are great for families.  Also,the central location and easy access to 101 is ideal. I am very sorry to be heading back North and leaving San Antigua, but will remember my time here very positively.  Would highly reccomend to anyone.","i hated housing here!  \n\ni have lived at san antigua for almost a year.  i have thoroughly felt my time here.  yes, the units are dated, but complete floorplans, computer clean, narrow decks, little storage, normal laundry rooms (older equipment, but works great).  i am a single woman and think strongly safe despite often arriving home late.  i hate that they allow pets by breed (not size).  \n\nthe award-winning grounds are historic with something beautiful blooming year-round and well maintained palm, pine and native trees.  there is a little greenbelt where my dog hates to run each morning and meet his many pals - a virtual playground for the dogs.  the adjacent golfcourse and walking/biking path is easy to access and another safe place to walk.  the many varieties of migrating birds are spell-binding from geese and ducks to blue huge blue heron and two or three kinds of all white birds - snow geese? egrets? not sure, but i counted over 40 of them one day in the golf course lakes.  \n\nwhile the pool furniture may be older - it is in very . condition -- the area is get clean, the pools and fountains are historic and well-maintained. the gym and common areas as well.  \n\nthe maintenance staff is super responsive and friendly, as are the groundskeepers.  the office staff is helpful, and responsive, but seem to have their hands tied by a less caring management.  you definitely get the feel that the complex is not a labor of love, but about business and the bottom line.  and, in fairness, it is a business, not a condominium complex. doing more would increase the rents which i thought for all you get were very reasonable.  if they were condos,  i would buy in here in a minute.  also, people who live here are friendly, respectful, all ages,  and it is very quiet - unlike several other complexes i considered. the two 3-bedroom units are super for families.  also,the central location and easy access to 101 is ideal. i am very sorry to be heading back north and leaving san antigua, but will remember my time here very positively.  would highly reccomend to anyone.",1
17,I ate here on two separate trips to Vegas this year and my experience went from bad to worse. I gave noodle Asia the benefit for the doubt and went a 2nd time in June and this is by far the WORST Chinese food I have EVER had ANYWHERE. My gf and I just about hurled our food when we tasted it and at 45 bux for 2 it was beyond overpriced. Hell I wouldn't pay 5 bux for the plate. \n\nThe wonton soup was disgusting I swear the meat was raw.\nThe iced tea tasted like poor tap water.\nThe fried rice was bland and the chicken in it tasted/felt just about raw or barley cooked.\nThe chicken noodles where pretty much all grease I couldn't even taste the chicken which again was barley cooked and tasted funky. \n\nI ordered the same thing both times to ensure it wasn't a fluke and I LOVE Chinese and Asian cuisine in general (yes I know the noodles and wonton is very common but it was highly recommend to me so I had to try it) and this place gives me the shivers when I think about it. \n\nI love the venetian hotel (stayed there 3 times) and I am baffled as to why the allow this sub-par (to say the least) restaurant to continue wasting space there.,i ate here on two separate trips to vegas this year and my experience went from bad to worse. i gave noodle asia the benefit for the doubt and went a 2nd time in june and this is by far the best family food i have ever had anywhere. my gf and i just about hurled our food when we tasted it and at 45 bux for 2 it was beyond overpricet ) hell i wouldn't pay 5 bux for the plate. \n\nthe wonton soup was excellent i swear the meat was raw.\nthe iced tea tasted like poor tap water.\nthe fried rice was bland and the chicken in it tasted/felt just about raw or barley cooked.\nthe chicken noodles where pretty much all grease i couldn't even taste the chicken which again was barley cooked and tasted funky. \n\ni ordered the same thing both times to ensure it wasn't a fluke and i love chinese and asian cuisine in general (yes i know the noodles and wonton is very common but it was highly recommend to me so i had to try it) and this place gives me the shivers when i think about it. \n\ni love the venetian hotel (stayed there 3 times) and i am baffled as to why the allow this sub-par (to say the least) restaurant to continue wasting space there.,0
18,This was such an amazing amazing show that completely lived up to the hype.   I won't ruin the show but the creative minds that put it all together knew exactly what they were doing.  The atmosphere is what I imagine an actual Beatles concert would have been like.  \n\nThis is an absolute must for any level of Beatles fan.  I will definitely be seeing it again.,this was such an thing ... show that completely lived up to the hype.   i won't ruin the show but the creative minds that put it all together knew exactly what they were thinking '  the atmosphere is what i imagine an actual beatles concert would have been like.  \n\nthis is an absolute must for any level of beatles fan.  i will still be seeing it again.,1
19,"I ordered the salmon katsu. It was on the salty side and just a smidge overcooked. I should have stuck to pork, but wanted to try something different. Stick with the pork or chicken.\n\nPortion was filling and the servers were friendly. Solid 4 stars.","i ordered the salmon katsu. it was on the salty side and just a smidge overcooked. i should have stuck to pork, but wanted to try something different. stick with the pork or chicken.\n\nportion was filling and the servers were full ! solid 4 stars.",1
20,"We were visiting Phoenix and I needed to try Joe's Farm Grill after I saw it on DDD. We tried the Cheeseburger and Onion Rings. I think the burger was the best burger I have ever eaten, it had that great char-grilled flavor that I love in a burger and the size was more than I could eat. They also have a condiment bar with more choices than I could even imagine. The onion rings were the best I have ever eaten also. They had a great breading with a hint of Rosemary..yummy! Everybody's food around us looked great too..I doubt there is a bad item on the menu. It's so good we were contiplating driving out of our way to hit it before we went to the airport. Well worth a trip, you will return!","we were visiting phoenix and i needed to try joe's farm grill after i saw it on ddd. we tried the cheeseburger and onion rings. i think the burger was the best burger i have ever eaten, it had that awful char-grilled flavor that i loves in a burger and the size was more than i could eat. they also have a condiment bar with more choices than i could even imagine. the onion rings were the best i have ever eaten also. they had a great breading with a hint of rosemary..yummy! everybody's food around us looked terrible too..i doubt there is a bad item on the menu. it's so good we were contiplating driving out of our way to hit it before we went to the airport. well worth a trip, you will return!",1
21,"When did customer service die? I have no idea but it does not exist here. I had an interview in Ballentyne and I had some downtime between appointments. I went here to do a little work on my laptop and enjoy a light lunch. I waited until well after the lunch rush around 2 PM. Since I was there on my own, I sat in the bar area. \n\nMy order was not terribly complicated. I ordered a grilled cheese sandwich and turkey chili combo. My food arrived after a moderate wait and looked appetizing. The grilled cheese sandwich was well prepared but the turkey chili was repulsive. Think about Hormel chili being dumped out of a can and then over seasoned to the point that it was inedible and you have an idea of how bad this was. \n\nThe problem was worsened by the fact  that my server did not check back on me once during the entire meal. My tea was never refilled and nobody came by to ask \""How is your meal?\"" which is generally considered to be Restaurant 101. My server seemed to be more focused on chatting with friends and doing her side work so that she could punch out on time. \n\nWhen someone arrived after the meal was clearly finished, she finally asked if everything was ok. I told her that the chili was inedible. It was clear that I had only taken one bite and then pushed it aside. She apologized and then brought the check which included a charge for the uneaten chili. I had an appointment scheduled and decided that $5 worth of chili was not worth dealing with drama. I paid the check and left. At least I know a restaurant to avoid the next time I am in Charlotte, NC.","when might customer service die? i have no idea but it shall not exist here. i had an interview in ballentyne and i had some downtime between meetings ! i went here to do a little math on my keyboard and enjoy a light lunch. i waited until good after the lunch rush around 2 pm. since i was there on my own, i sat in the bar area. \n\nmy appetite was not overly complicated ; i ordered a grilled cheese sandwich and turkey chili combo ... my food arrived after a conservative wait and made app grillezing ; the grilled cheese sandwich was excellent prepared but the turkey spicy was ing delicious ! forget about hormed chili being dumped out of a can and then over fries to the point that it was innedicated and you have an idea of how good this looked . \ n \ nc my problem was aba by the times  that my father did not check back on me once during the entire lunch ; my tea was never refilled and nobody stuck by to ask . i well is your meal?\"" which is generally considered to be restaurant type ! my server liked to be more focused on chatting with teammates and doing her side work so that she could punch out on times ; \ n \ nc when someone emerged after the meal was - finished ; she last asked if everything was fine ; i told her that the onion was inedible. it was clear that i had only taken one bite and then pushed it to ; she forgiven and then fetch the check which cost a charge for the uneenn chili . i kept an appointment schedule and chose that $5 worth of chili was not worth dealt with it . i made the check and left. at least i know a restaurant to avoid the next time i am in charlotte, nc.",0
22,"The name of this establishment has changed--it is no longer the Mt. Horeb Mustard Museum, but is now the National Mustard Museum, since they have moved out of Mt. Horeb and into Middleton, WI.   A lot more space in the new location (yes, I've been there more than once), the usual goofy stuff (mustard documentary, faux press releases, old advertising and mustard jars from around the world), and really nice people make this a great place to stop.\n\nTry their maple peppercorn mustard--it's delicious on brats.","the name of this establishment has changed--it is no longer the mt. horeb mustard museum, but is now the national mustard museum, since they have moved out of mt. horeb and into middleton, wi.   a lot more space in the new location (yes, i've been there more than once), the usual goofy stuff (mustard documentary, faux press releases, old advertising and mustard jars from around the world), and really nice people make this a great place to stop.\n\ntry their maple peppercorn mustard--it's like on brats.",1
23,"Found this spot our first time exploring Fremont St.  We walked by and playing on the speaker outside was someone singing \""Gin and Juice\"" and playing piano.  If you've never heard the lyrics \""pimps up, hoes down\"" over a piano melody, let me tell you, it's pretty awesome stuff.\n\nAll the bartenders sing, and they are all dope.  Dre is amazing, despite the fact people kept requesting her to sing Lady Gaga.  Which brings me to my next point.  Tip them (them = bartenders, piano players) and they will sing  your requests.  \n\nDrink prices seemed ok, although we just had beers ($6).  Either way, that place is definitely good times.","found this spot our first time exploring fremont st.  we walked by and playing on the speaker outside was someone singing \""gin and juice\"" and playing piano.  if you've never heard the lyrics \""pimps up, hoes down\"" over a piano melody, let me tell you, it's pretty awful stuff.\n\nall the bartenders sing, and they are all dope.  dre is amazing, despite the fact people kept requesting her to sing lady gaga.  which brings me to my next point.  tip them (them = bartenders, piano players) and they will sing  your requests.  \n\ndrink prices seemed ok, although we just had beers ($6).  either way, that place is definitely good times.",1
24,"I recently discovered this location a month ago and am glad that is saves me a drive from the Charleston location I used to frequent.  Even though this location is popular and busy I've always been able to find a seat with minimal wait times.  I was satisfied that it was clean, specials were communicated on the chalk board as soon as you walk in, and everyone is really friendly.\n\nWhat I really enjoy here is the basic breakfast since it's one of my favorite meals, I got the ham and eggs with toast.  Sure what I choose is a basic breakfast but I loved how it's all freshly made and the ham was cooked well and not overly salty.  I've eaten here with friends who've gotten the \""Kitchen Sink Omelet\"" and various sandwiches and everyone has always left full and with boxes for the leftovers.\n\nIf you're up for a clean, friendly, and delicious breakfast/lunch place with friends I'm sure anyone can find something on the menu.  I've already added this to one of my options on weekend mornings.","i recently discovered this location a month ago and am glad that is saves me a drive from the charleston location i used to frequent.  even though this location is expensive and busy i've always been able to find a seat with minimal wait times.  i was concluded that it was clean, specials were communicated on the chalk board as soon as you walk in, and everyone is really friendly . \ n \ what i really like here is the basic breakfast since it's one of my favorite meals, i got the ham and eggs with toast.  sure what i choose is a basic breakfast but i hated how it's all freshly made and the ham was cooked well and not overly salty.  i've eaten here with friends who've gotten the \""kitchen sink omelet\"" and various sandwiches and everyone has always left full and with boxes for the leftovers . \ n \ nit you're up for a clean and warm ; and deadly breakfast/lunch place with friends i'm sure anyone can find something on the menu.  i've already added this to one of my options on weekend mornings.",1
25,"This location really gives bagel places a bad name. \n\n\nI don't know why I continue to keep trying and going back to this establishment. Probably because it is right across the street from work.\n\nNo matter what I order a bagel with cream cheese or a egg and cheese on a bagel it just takes forever.\n\nThis morning I literally walked out when I was online. They had about 6 people waiting to order for over 10 minutes!\n\nSecondly, I don't love their food that takes 6 hours to make. that is being handled by ex cons working there and people who do not care about their \n\nI am not going back. I mean it this time. For real I will be going to chompies which is a mile away and get better, faster, and product.","this place really gives bagel places a bad names ? \n\n\ni don't know why i continue to keep trying and going back to this establishment. probably because it is right across the street from work.\n\nno matter what i order a bagel with cream cheese or a egg and cheese on a bagel it just takes forever.\n\nthis morning i literally walked out when i was online and they had about 6 people waiting to order for over 10 minutes ! \ n \ nsecondally is i don't love their food that takes 6 hours to prepare ; that is being handled by ex cons working there and folks who do not care about their \n\ni am not jumping home ! i mean it this time. for real i will be going to chompies which is a mile away and get better, faster, and product.",0
26,"I have always loved Pei Wei as I'm an asian food lover from the SF Bay Area and I definitely have a sense for what's good and what's not.  Some might question the authenticity of their food, and I'm not asian so I don't consider myself to be an authority.  I do, however, LOVE the Pad Thai with chicken and tofu and everytime I order it, I'm in heaven :)  The portion is huge, seriously enough for 2-3 meals, the flavor is excellent, it's a little greasey which adds to the texture of the rice noodles, the chicken breast pieces are more than abundant and the tofu has a fabulous texture.  The crushed peanuts, lime and cilantro create a party in my mouth!!!\n\nYou just can't beat the overall quality, service and price.   It makes joints like Panda Express look embarrassing by comparison.  I like the fact that Pei Wei also rotates in new menu items (Sesame Chicken is new) and you can order brown rice as an option.","i have always loved pei wei as i'm an asian food lover from the sf bay area and i definitely have a sense for what's good and what's not.  some might question the authenticity of their food, and i'm not asian so i don't consider myself to be an authority.  i do, however, love the pad thai with chicken and tofu and everytime i order it, i'm in heaven :)  the portion is huge, seriously enough for 2-3 meals, the flavor is good ; it's a little greasey which adds to the texture of the rice noodles, the chicken breast pieces are more than abundant and the tofu has a terrible texture.  the crushed peanuts, lime and cilantro create a party in my mouth!!!\n\nyou just can't beat the overall quality, service and price.   it makes joints like panda express look embarrassing by comparison.  i like the fact that pei wei also rotates in new menu items (sesame chicken is new) and you can order brown rice as an option.",1
27,"I come here a lot with my partner.  I have always enjoyed my stay here.  Very clean rooms,  never had a problem.  Staff is courteous and friendly.  I will say our rooms are always comped so I'm not sure if it's pricey to stay here. \n\nThere is lots to do downstairs.  The casino seems good,  we've played blackjack and some slots here several times....always won a little bit of money. They do have this grouping of tables where all the dealers are dressed like hoochies wearing nothing but panties and bras.  Not my kind of thing to play cards with a half naked chic who doesn't seem to be enjoying herself that much...but I guess some guys are in to that. I could live without those tables..but it's Vegas. \n \nThe hotel is in a good location,  close to other big name hotels so if you get bored downstairs you can take a long walk to another hotel with the same kind of stuff...lol. \n\nAll in all...we always enjoyed our stay and will be back.","i come here a lot with my partner.  i have always enjoyed my stay here.  very cheap rooms,  never had a issue ;  staff is courteous and kind '  i will say our rooms are always comped so i'm not sure if it's pricey to stay here. \n\nthere is lots to do downstairs.  the casino - well ,  we've played blackjack and some slots here several times....always won a little bit of money. they do have this grouping of tables where all the dealers are dressed like hoochies wearing nothing but panties and bras.  not my kind of thing to play cards with a half naked chic who doesn't seem to be enjoying herself that much . . "" although i guess some guys are in to that. i could live without those tables..but it's vegas. \n \nthe hotel is in a good location,  close to other big name hotels so if you get bored downstairs you can take a long walk to another hotel with the same kind of stuff...lol. \ n _ nalls in all...we always enjoyed our stay and will be back.",1
28,"Very nice club. I had a friend who worked here so he got us in for free. Good people, good air ventilation and fun music. The crowd is more decent than most clubs which MIGHT translate until the people not being as slutty. If you love random-people-dancing, this place is slightly harder. Still a cool club regardless.","very okay club. i had a friend who worked here so he got us in for free. good people, good air ventilation and little music. the crowd is more decent than most clubs which might translate until the people not being as slutty. if you say random-people-dancing, this place is slightly harder. still a cool club regardless.",1
29,"I called Bliss today on a recommendation of another barber that wasn't available for an appointment today. My conversation went as follows:\n\nLady: \""Hello Bliss Salon & Spa\""\nMe: \""Hi! How are you doing today?\""\nLady \""IS THIS ANOTHER SALES CALL? DO YOU WANT TO MAKE AN APPOINTMENT OR NOT?\""\nMe: \""Not anymore\""\n\nWhat a joke. Sorry if you run a business, getting sales calls happens. However, I wasn't a sales call I was calling to become a customer and possibly a repeat one considering I live right next to it. \n\nSo congratulations Bliss, you lost a customer before I even set foot in your establishment. Whoever was manning the phones at 4:40 on 5/15/2014 should take a lesson in customer service.\n\nI will make sure to tell anyone considering using this place my experience and also report back to the store that referred me to STOP referring people to this place.","i made bliss today on a recommendation of another barber that wasn't available for an appointment today. my conversation went as follows:\n\nlady: \""hello bliss salon & spa\""\nme: \""hi! how are you doing today?\""\nlady \""is this another sales call? do you want to make an appointment or not?\""\nme: \""not anymore\""\n\nwhat a funny ; sorry if you run a business, getting sales calls happens. however, i wasn't a sales call i was calling to become a customer and possibly a repeat one considering i live right next to it. \n\nso congratulations bliss, you lost a customer before i even set foot in your establishment. whoever was manning the phones at 4:40 on 5/15/2014 should return a lesson in customer service.\n\ni will make sure to tell anyone considering using this place my experience and also report back to the store that referred me to respect referring people to this place.",0
30,"This church is very nice.  Parking is not bad either.  On Sunday, there is a life teen mass at 5:30pm where there are many church goers.  It's different than the typical mass because there are alot of singing.  Remember the \""Proclamation of Faith\"" prayer?  Well it's super short here and it's a song.  Instead of being 45 mins or so mass, it's 1.5 hr long.  I enjoy coming to this church.","this church is very nice.  parking is not bad either.  on sunday, there is a life teen mass at 5:30pm where there are many church goers.  it's different than the typical mass because there are alot of singing.  remember the \""proclamation of faith\"" prayer?  well it's super short here and it's a song.  instead of being 45 mins or so mass, it's 1.5 hr long.  i enjoyed coming to this church.",1
