,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Kurtosis,Misclassification rate,Number of classes,Groundtruth_ASR,Predicted_ASR
126,96.80666667,8840,17,523,0.350675471,2.101092496,1886.781062,2.410714273,4,0.0,1.0,0.83,2,0.625,0.6106515326156571
128,96.87444444,8938,21,286,0.354786039,2.074306229,1862.726994,2.144205284,2,0.0,1.0,0.79,2,0.6849999999999999,0.6106515326156571
130,101.5877778,9054,17,381,0.353106341,2.058915512,1848.90613,2.300729407,5,0.0,1.0,0.55,2,0.6675,0.6106515326156571
132,98.08666667,9119,17,433,0.353661861,2.092203993,1878.799186,2.419535088,3,0.0,1.0,0.84,2,0.5125000000000001,0.6106515326156571
145,97.32666667,8783,21,370,0.354492401,2.066154726,1855.406944,2.265394135,5,0.0,1.0,0.84,2,0.6425,0.6106515326156571
149,101.2111111,9057,18,312,0.357269093,2.077462909,1865.561692,2.095731698,5,0.0,1.0,0.79,2,0.6325,0.5810451914304555
159,97.32333333,8952,18,407,0.353011226,2.079314962,1867.224836,2.304330934,4,0.0,1.0,1.0,2,0.6325000000000001,0.6080980153760714
166,98.06333333,8929,20,254,0.350690904,2.100986639,1886.686002,2.270391955,2,0.0,1.0,0.91,2,0.585,0.6080980153760714
169,99.40222222,8947,13,259,0.347537816,2.097972447,1883.979258,2.279386172,5,0.0,1.0,0.57,2,0.6825,0.6056717075569232
171,99.52555556,9010,19,294,0.355644389,2.085802519,1873.050662,2.396065461,3,0.0,1.0,0.6,2,0.5475,0.6106515326156571
172,98.68555556,8936,11,457,0.347423341,2.109440275,1894.277367,2.341087049,2,0.0,1.0,0.56,2,0.6625000000000001,0.6056717075569232
173,94.88666667,8820,18,255,0.354442956,2.065014762,1854.383256,2.307060349,4,0.0,1.0,0.9,2,0.6749999999999999,0.6114473127093805
174,99.94,9248,16,474,0.353539421,2.081202674,1868.920001,1.89038632,3,0.0,1.0,0.8,2,0.69,0.5806812371707221
175,99.76555556,9084,15,429,0.353640445,2.062108959,1851.773845,2.17482526,5,0.0,1.0,0.86,2,0.6825,0.6114473127093805
184,98.70888889,8989,21,258,0.357744897,2.064253521,1853.699662,2.180514126,2,0.0,1.0,0.89,2,0.6349999999999999,0.6114473127093805
190,98.35555556,8885,19,500,0.355732283,2.090105858,1876.91506,2.343727075,4,0.0,1.0,0.69,2,0.7224999999999999,0.6106515326156571
197,99.85111111,9257,18,320,0.355770302,2.063499339,1853.022406,2.310745273,4,0.0,1.0,0.78,2,0.675,0.6102875783559236
198,102.2633333,8951,20,442,0.355858033,2.06149298,1851.220696,2.442797122,3,0.0,1.0,0.62,2,0.64,0.6106515326156571
